"Timestamp","¿Qué edad tienes?","Lista de actividades: [YOGA]","Lista de actividades: [NATACIÓN ]","Lista de actividades: [BAILE ]","Lista de actividades: [GOLF ]","Lista de actividades: [GIMNASIO ]","Lista de actividades: [TIRO CON ARCO ]","Lista de actividades: [ZUMBA ]","Lista de actividades: [TENIS]","Lista de actividades: [CLUB DE LECTURA]","Lista de actividades: [CLUB DE ESCRITURA]","Lista de actividades: [PINTURA]","Lista de actividades: [MÚSICA ]","Lista de actividades: [MACRAMÉ]","Lista de actividades: [INFORMÁTICA]","Lista de actividades: [JARDINERÍA]","Lista de actividades: [MANUALIDADES]","Lista de actividades: [IDIOMAS]","Lista de actividades: [COCINA]","Lista de actividades: [COCTELERÍA]","Lista de actividades: [CERVECERÍA ARTESANAL]","Lista de actividades: [CATAS DE COMIDA Y BEBIDA]","Lista de actividades: [BINGO]","Lista de actividades: [PARCHIS]","Lista de actividades: [AJEDREZ]","Lista de actividades: [TEATRO]"
"2022/03/11 11:16:08 pm CET","Más de 55 años","2","1 No me gusta","4","1 No me gusta","5 Me encanta","1 No me gusta","2","1 No me gusta","3","2","4","5 Me encanta","1 No me gusta","3","1 No me gusta","2","2","2","1 No me gusta","1 No me gusta","3","1 No me gusta","3","2","4"
"2022/03/11 11:43:23 pm CET","Más de 55 años","","","3","","","","","","","","","2","","","2","2","2","2","","","","","","",""
"2022/03/12 12:14:55 am CET","Más de 55 años","2","2","3","1 No me gusta","3","1 No me gusta","2","2","3","2","2","2","3","3","3","3","2","3","2","2","3","1 No me gusta","2","1 No me gusta","2"
"2022/03/12 12:20:14 am CET","Más de 55 años","","","","","","","","","","","","2","","2","","","","2","","","2","","","","2"
"2022/03/12 12:21:37 am CET","Más de 55 años","","","","","","","","","","","","2","","","","","","2","","","2","","2","","2"
"2022/03/12 12:56:46 am CET","Más de 55 años","1 No me gusta","2","2","1 No me gusta","1 No me gusta","1 No me gusta","2","2","2","2","2","1 No me gusta","2","1 No me gusta","2","2","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta"
"2022/03/12 7:40:10 am CET","Más de 55 años","","5 Me encanta","3","","","","","","5 Me encanta","5 Me encanta","5 Me encanta","","5 Me encanta","3","5 Me encanta","5 Me encanta","2","5 Me encanta","3","2","5 Me encanta","1 No me gusta","3","3","5 Me encanta"
"2022/03/12 7:55:47 am CET","Más de 55 años","4","5 Me encanta","3","1 No me gusta","4","1 No me gusta","1 No me gusta","2","2","3","4","4","4","4","3","3","3","3","","2","2","1 No me gusta","2","2","4"
"2022/03/12 7:58:51 am CET","Más de 55 años","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","2","2","1 No me gusta","3","1 No me gusta","1 No me gusta","2","1 No me gusta","2","1 No me gusta","2"
"2022/03/12 8:17:15 am CET","Más de 55 años","1 No me gusta","1 No me gusta","2","1 No me gusta","3","1 No me gusta","1 No me gusta","1 No me gusta","2","2","2","2","2","2","2","2","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","2"
"2022/03/12 8:23:02 am CET","Más de 55 años","","","","","4","","","","4","","","","","4","","","4","","","","","","","4","3"
"2022/03/12 8:37:02 am CET","Más de 55 años","","3","3","","1 No me gusta","","","2","3","3","3","3","2","2","2","2","3","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","3","3"
"2022/03/12 8:38:56 am CET","Más de 55 años","4","","4","","3","","3","","","","","","","","","","","","","","","","","",""
"2022/03/12 8:47:47 am CET","Más de 55 años","","","","","","5 Me encanta","","","","","5 Me encanta","5 Me encanta","","","","","5 Me encanta","","","","","","","",""
"2022/03/12 8:50:09 am CET","Más de 55 años","1 No me gusta","3","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","2","1 No me gusta","2","1 No me gusta","1 No me gusta","2","1 No me gusta","1 No me gusta","1 No me gusta","1 No me gusta","2","1 No me gusta","2","1 No me gusta"
"2022/03/12 8:53:15 am CET","Más de 55 años","","3","","3","2","2","2","3","","","","2","","","","","","","","","","","","",""
"2022/03/12 8:53:53 am CET","Más de 55 años","3","2","3","","","","","","","","","","","3","3","","","","","","","","","",""
"2022/03/12 8:58:09 am CET","Más de 55 años","","","3","","3","","","","","","3","3","","","3","3","","","","","","","","",""
"2022/03/12 9:00:29 am CET","Más de 55 años","","2","2","","2","","2","","","","2","2","","","","","","","","","","","","","2"
"2022/03/12 9:08:53 am CET","Más de 55 años","","2","2","","1 No me gusta","2","","1 No me gusta","2","2","","2","2","2","","2","2","2","","","","","","","2"
